French,English
histoire,history
chercher,search
seulement,only
aide,help
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
heures,hours
pendant,while
place,square
parle,speak
savais,knew
voici,here is
pourrais,could
corps,body
endroit,place
façon,way
dont,whose
main,hand
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
venez,come
vers,towards
demandé,request
droit,law
aimerais,would like to
cause,cause
espère,hope
attendez,Wait
boulot,job
donne,given
loin,far
fin,end
croire,believe
aura,will have
filles,girls
jouer,to play
bureau,office
